cloverID,cloverName,iParent,iSelectionName,iPrice,iListPrice,iStock,iSell
TASM3KB9NNW20,3M Hookit Polishing Pad,05713,,1994,0,0,1
MFZXY81G5FZ68,3M Yellow Backing Velcro Pad,,,7495,,2,1
YDHHYHGVSGRTT,3M Perfect-It Backup Pad Yellow,05718,,6525,0,2,1
3JW3P6MBWEHXC,3M Perfect-It III Wool Compounding Pad (Single Pad),05719,,2320,0,1,1
A8TA5CAZ62PJ0,3M Perfect-It Plus Ultrafine Foam Polishing Pad,,,2161,,0,1
T1H13MKWH07VJ,3M Perfect-It Foam Polishing Pad,,,2590,,0,1
0P64B49C3E7DW,3M Perfect-It ULTRAFINE Foam Polishing Pad,05751,,4099,0,1,1
XZYC78ETXCSYT,"3M 6"" Hookit Clean and Soft Interface Pad ( FOAM GRAY)",05777,,1233,0,-3,1
GS63057XHS202,"3M Hookit 6"" Clean Sand DF Pad (YELLOW)",05865,,5319,0,2,1
BY2QA4ZV4KXPC,Hookit II Backing,,,5000,,0,1
14SDM1H60BRZ8,3M Paint Buster Hand Cleaner,,,1359,,0,1
ATAFR3W6RZGKY,3M PERFECT IT 3000 SWIRL REMOVER,06064,,3595,0,3,1
Y3YS1RGDTCDYW,3M Perfect-It 3000 Ultrafine Swirl Eliminator,,,2750,,0,1
CZMTFMJCZRK1W,3M ULTRAFINE POLISH,,,4795,,-3,1
70GA5GTW5NKWP,Gerson Nuisance Dust Mask 50pk,,,550,,0,1
JR5ES6DGHV3AJ,3M Imperial Hookit II P500 50 Discs,,,3639,,0,1
DJ50XZ1NW0RTP,3M Imperial Hookit II P400 50 Discs,,,3639,,0,1
9CM0RWZ9XJS9T,3M Imperial Hookit II P320 Box of 50,,,3734,,0,1
7KFPAXCJ8MW2C,3M IMPERIAL HOOKIT II 80 GRIT BOX,,,4368,,0,1
AV2FDGWYWMT2C,"Soft Sander 11"" Set",,,3495,,0,1
6NYNVNGC0QXH8,Gerson PAINT STRAINER STAND,,,906,,0,1
9DNPJSHBR091M,3M Scotch Brite Roloc,,,150,,-14,1
J9SDZ445B85BG,8oz CYLINDER 24/410 NAT HDPE Bottle (500/Ea),,,80,,3805,1
NACCQFBHE3E7C,8oz Cylinder Bottle Only,,,0,,3948,1
EZSX99PWEHBQ8,Comart Opaque Dinitrile Orange 1oz *DISCONTINUED,,,199,,17,1
A9ANCQYHK480J,Comart Opaque Dinitrile Orange 16oz  *DISCONTINUED,,,2995,,1,1
B0E4D3XSFA7XG,Comart Opaque Dinitrile Orange 32oz  *DISCONTINUED,,,4500,,0,1
QTE9TK6H1FAJ8,Comart Opaque Dinitrile Orange 4oz  *DISCONTINUED,,,399,,4,1
5N8373TMGPHQC,Comart Opaque ToluIdIne Red 1oz,,,289,,9,1
MK0ZTH9BCGD96,Comart Opaque ToluIdIne Red 16oz,,,2995,,1,1
A8W21GAQRAPRP,Comart Opaque ToluIdIne Red 32oz,,,4500,,0,1
N07S2X9RYCNE8,Comart Opaque ToluIdIne Red 4oz,,,825,,10,1
FAVV8F26834QY,Comart Opaque Diaryl Orange 1oz,,,289,,2,1
M3MJPSB2WPRK8,Comart Opaque Diaryl Orange 16oz,,,2995,,2,1
YMV2CDATFG02M,Comart Opaque Diaryl Orange 32oz,,,4500,,0,1
1EBSWD0R3BDQ4,Comart Opaque Diaryl Orange 4oz,,,825,,2,1
RKTSWJ0GBZEHT,Comart Opaque Indian Red 1oz *DISCONTINUED,,,199,,6,1
05358H5ZJ5746,Comart Opaque Indian Red 32oz *DISCONTINUED,,,2995,,1,1
80Y63DS0H6RN0,Comart Opaque Indian Red 4oz *DISCONTINUED,,,399,,2,1
SWN4Y6M81GDZT,Comart Opaque Naphtol Dark Red 1oz,,,289,,17,1
AAC84FB1Y3X16,Comart Opaque Naphtol Dark Red 32oz,,,4500,,0,1
ZSQTC592B15NP,Comart Opaque Naphtol Dark Red 4oz,,,825,,5,1
ERDAW8KG0QYPY,Comart Opaque Lime Green 1oz *DISCONTINUED,,,199,,10,1
RY99XAVJW6DMW,Comart Opaque Lime Green 16oz *DISCONTINUED,,,2995,,0,1
42V2MHQW4M39P,Comart Opaque Lime Green 32oz *DISCONTINUED,,,4500,,0,1
MZMZTKPFPF1B2,Comart Opaque Lime Green 4oz *DISCONTINUED,,,399,,-3,1
NH3AR2263616R,Comart Opaque Violet Madder 1oz *DISCONTINUED,,,199,,12,1
G5YGXG6145ZAY,Comart Opaque Violet Madder 16 oz *DISCONTINUED,,,2995,,1,1
HTRRAEC7YG4Z4,Comart Opaque Violet Madder 4oz *DISCONTINUED,,,399,,4,1
97AMTJDD6VZNJ,Comart Opaque Mineral Blue 1oz *DISCONTINUED,,,199,,9,1
1VHCXPRAE5N1M,Comart Opaque Mineral Blue 16oz *DISCONTINUED,,,2995,,0,1
HCVX5SZ1S2ESY,Comart Opaque Mineral Blue 4oz *DISCONTINUED,,,399,,3,1
RCKDDM1CAC5P2,Comart Opaque Paynes Gray 1oz,,,289,,-3,1
FEHSQ5F0EBEWY,Comart Opaque Paynes Gray 32oz,,,4500,,0,1
H69R1P2RRCMYM,Comart Opaque Paynes Gray 4oz,,,825,,7,1
