Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item,iParent,iSelectionName
1QBF1AFZ4DR5G,3000 Trizact,,8515,Fixed,,DEFAULT,0.00,,02075,,1,,No,No,,
DAPR6RRKNTM70,"3M 6"" P3000 Hookit Trizact Clean and Sand FOAM DISC",,11250,Fixed,,DEFAULT,69.33,051131020856,02085,,-3,,No,No,,
MCS3H67J7A27C,"3M 6"" P1500 Hookit Trizact Clean and Sand CLEAR COAT DISC",,7960,Fixed,,DEFAULT,51.12,4046719907335,02088,,-2,,No,No,,
P2HP620Y7N62P,"3M 6"" P1000 Hookit Trizact Clean and Sand BLENDING DISC",,13387,Fixed,,DEFAULT,72.41,051131020900,02090,,1,,No,No,,
921FEQDAKYA7T,System one spot buffing pads kit,,3300,Fixed,,DEFAULT,0.00,,025,,-1,,No,No,,
CFWET246XGNS6,500 paper 3m,,4295,Fixed,,DEFAULT,28.00,,02538,,3,,No,No,,
29RQZFV9K3PQE,320 paper 3m,,4295,Fixed,,DEFAULT,28.00,,02541,,2,,No,No,,
0QCNW1KERWBMG,"3M  2-3/4""x25yd P500 Stikit GOLD Roll",,5753,Fixed,,DEFAULT,0.00,051131025899,02589,,,,No,No,,
BEAKN2ZNN84PE,"3M  2-3/4""x25yd P400 Stikit GOLD Roll",,5753,Fixed,,DEFAULT,37.38,051131025905,02590,,-1,,No,No,,
75B3KZ5QW71QJ,"3M  2-3/4""x25yd P320 Stikit GOLD Roll",,5753,Fixed,,DEFAULT,37.71,051131025912,02591,,-6,,No,No,,
VKFRYXA9WS1N4,"3M  2-3/4""x25yd P220 Stikit GOLD Roll",,5753,Fixed,,DEFAULT,37.71,051131025943,02594,,-3,,No,No,,
86EW11S9X2M9E,"3M  2-3/4""x25yd P180 Stikit GOLD Roll",,5773,Fixed,,DEFAULT,37.38,051131025950,02595,,-2,,No,No,,
NH0M6BERE4N6R,Sanding Sponge- Ultra Fine,,5136,Fixed,,DEFAULT,33.21,,02601,,,,No,No,,
5BTRDHRM20W30,SANDING SPONGE-SUPERFINE,,5136,Fixed,,DEFAULT,33.21,,02602,,,,No,No,,
G7ZQYEP3S6XG4,2oz HDPE Cylinders 24/410 HDPE (1000/Ea),,60,Fixed,,DEFAULT,0.07,,02C24HN,,917,,No,No,,
15D1ZD723X8ZR,2oz Cylinder Only (1000/Ea),,60,Fixed,,DEFAULT,0.07,,02C24HN:2OZ-Bottle,,3038,,No,No,,
P05P9J08SA6MP,MCKANICA SEAM SEALER WHITE,,650,Fixed,,DEFAULT,0.00,,0322,,,,No,No,,
F0BZSA5PMW3H2,JATech 3 Way Universal Stainless Manifold,,4245,Fixed,,DEFAULT,21.33,,03W-USF-A-202N-A-40,,5,,No,No,,
QD6S0YJ81EDJE,SEM Finish Line Striping Reducer 8oz,,1020,Fixed,,DEFAULT,7.90,,04006,,,,No,No,,
