Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
GJZ6DRZF2FAQ0,3M Wet or Dry Sheets P320,,52.49,Fixed,,DEFAULT,34.41,,02040,,10,,No,No
9CD1PHT4ZQE8E,3M 1000 Trizact,,92.00,Fixed,,DEFAULT,0.00,,02066,,1,,No,No
1QBF1AFZ4DR5G,3000 Trizact,,85.15,Fixed,,DEFAULT,0.00,,02075,,1,,No,No
DAPR6RRKNTM70,"3M 6"" P3000 Hookit Trizact Clean and Sand FOAM DISC",,112.50,Fixed,,DEFAULT,69.33,051131020856,02085,,-3,,No,No
MCS3H67J7A27C,"3M 6"" P1500 Hookit Trizact Clean and Sand CLEAR COAT DISC",,79.60,Fixed,,DEFAULT,51.12,4046719907335,02088,,-2,,No,No
P2HP620Y7N62P,"3M 6"" P1000 Hookit Trizact Clean and Sand BLENDING DISC",,133.87,Fixed,,DEFAULT,72.41,051131020900,02090,,1,,No,No
921FEQDAKYA7T,System one spot buffing pads kit,,33.00,Fixed,,DEFAULT,0.00,,025,,-1,,No,No
CFWET246XGNS6,500 paper 3m,,42.95,Fixed,,DEFAULT,28.00,,02538,,3,,No,No
29RQZFV9K3PQE,320 paper 3m,,42.95,Fixed,,DEFAULT,28.00,,02541,,2,,No,No
0QCNW1KERWBMG,"3M  2-3/4""x25yd P500 Stikit GOLD Roll",,57.53,Fixed,,DEFAULT,0.00,051131025899,02589,,,,No,No
BEAKN2ZNN84PE,"3M  2-3/4""x25yd P400 Stikit GOLD Roll",,57.53,Fixed,,DEFAULT,37.38,051131025905,02590,,-1,,No,No
75B3KZ5QW71QJ,"3M  2-3/4""x25yd P320 Stikit GOLD Roll",,57.53,Fixed,,DEFAULT,37.71,051131025912,02591,,-5,,No,No
VKFRYXA9WS1N4,"3M  2-3/4""x25yd P220 Stikit GOLD Roll",,57.53,Fixed,,DEFAULT,37.71,051131025943,02594,,-3,,No,No
86EW11S9X2M9E,"3M  2-3/4""x25yd P180 Stikit GOLD Roll",,57.73,Fixed,,DEFAULT,37.38,051131025950,02595,,-2,,No,No
NH0M6BERE4N6R,Sanding Sponge- Ultra Fine,,51.36,Fixed,,DEFAULT,33.21,,02601,,,,No,No
5BTRDHRM20W30,SANDING SPONGE-SUPERFINE,,51.36,Fixed,,DEFAULT,33.21,,02602,,,,No,No
G7ZQYEP3S6XG4,2oz HDPE Cylinders 24/410 HDPE (1000/Ea),,0.60,Fixed,,DEFAULT,0.07,,02C24HN,,920,,No,No
15D1ZD723X8ZR,2oz Cylinder Only (1000/Ea),,0.60,Fixed,,DEFAULT,0.07,,02C24HN:2OZ-Bottle,,3111,,No,No
P05P9J08SA6MP,MCKANICA SEAM SEALER WHITE,,6.50,Fixed,,DEFAULT,0.00,,0322,,,,No,No
QD6S0YJ81EDJE,SEM Finish Line Striping Reducer 8oz,,10.20,Fixed,,DEFAULT,7.90,,04006,,,,No,No
VXQHRDBBBGG7J,SEM Finish Line Striping Catalyst 8oz,,19.50,Fixed,,DEFAULT,14.50,,04016,,2,,No,No
8NC8PRFHF4KRT,SEM Finish Line Striping Urethane Silver 4oz.,,14.86,Fixed,,DEFAULT,10.00,,04022,,,,No,No
MZDVMTYSMJZAM,SEM Finish Line Striping Urethane Gold 4oz.,,14.86,Fixed,,DEFAULT,10.00,,04032,,,,No,No
VAERZPGGC0PRC,SEM Finish Line Striping Urethane Black 4oz.,,14.86,Fixed,,DEFAULT,10.00,,04052,,,,No,No
7YEBG7FVPRRZY,SEM Finish Line Striping Urethane Bright Red 4oz.,,19.50,Fixed,,DEFAULT,14.50,,04062,,,,No,No
S8Y2J3Q46ZXAT,SEM Finish Line Striping Urethane Bright Yellow 4oz.,,19.50,Fixed,,DEFAULT,14.50,,04072,,1,,No,No
RGDYDK60HB5FE,SEM Finish Line Striping Urethane Bright Orange 4oz.,,19.50,Fixed,,DEFAULT,14.50,,04082,,1,,No,No
9JJYQ24W1ZJK0,SEM Finish Line Striping Urethane Imitation Gold 4oz.,,19.50,Fixed,,DEFAULT,14.50,,04092,,6,,No,No
X4C3M77TRXCW8,SEM Finish Line Striping Urethane Process Blue 4oz.,,19.50,Fixed,,DEFAULT,14.50,,04112,,2,,No,No
X3BWEPSVDP2KM,SEM Finish Line Striping Urethane Process Green 4oz.,,19.50,Fixed,,DEFAULT,14.50,,04122,,3,,No,No
ANASKPTW7H7GJ,SEM Finish Line Striping Urethane Medium Gray 4oz.,,19.50,Fixed,,DEFAULT,14.50,,04132,,1,,No,No
JV05K27AM2PT0,SEM Finish Line Striping Urethane Purple 4oz.,,19.50,Fixed,,DEFAULT,14.50,,04142,,6,,No,No
CJE4PZHXHRTR4,SEM Finish Line Striping Urethane Magenta 4oz.,,19.50,Fixed,,DEFAULT,14.50,,04152,,3,,No,No
KJXYD3NAN95EW,4oz CYLINDER 24/410 NAT HDPE Bottle (950/Ea),,0.70,Fixed,,DEFAULT,0.09,,04C24HN,,5615,,No,No
YYFPFG9EA66DA,4oz Bottle Only,,0.70,Fixed,,DEFAULT,0.09,,04C24HN:4OZ-Bottle,,4657,,No,No
EV0V2S0MEKHCW,"6"" SOFT INTERFACE PAD",,10.80,Fixed,,DEFAULT,10.80,,05277,,,,No,No
DGGBJARC8YE3J,"2 3/4 in x 5 in, StikitHa; in x 5in 10 per case",,20.47,Fixed,,DEFAULT,12.42,,05442,,1,,No,No
QT2CQ42PZM2E8,3M Superbuff Wool Pad  III 2+2,,40.35,Fixed,,DEFAULT,24.31,,05704,,,,No,No
34ECMQ2SYS3FP,3M Hookit Plus Compounding Pad,,13.95,Fixed,,DEFAULT,0.00,,05711,,3,,No,No
MFZXY81G5FZ68,3M Yellow Backing Velcro Pad,,74.95,Fixed,,DEFAULT,0.00,,05717,,2,,No,No
A8TA5CAZ62PJ0,3M Perfect-It Plus Ultrafine Foam Polishing Pad,,21.61,Fixed,,DEFAULT,0.00,,05733,,,,No,No
T1H13MKWH07VJ,3M Perfect-It Foam Polishing Pad,,25.90,Fixed,,DEFAULT,15.60,,05738,,,,No,No
BY2QA4ZV4KXPC,Hookit II Backing,,50.00,Fixed,,DEFAULT,0.00,,058651,,,,No,No
14SDM1H60BRZ8,3M Paint Buster Hand Cleaner,,13.59,Fixed,,DEFAULT,0.00,,05975,,,,No,No
Y3YS1RGDTCDYW,3M Perfect-It 3000 Ultrafine Swirl Eliminator,,27.50,Fixed,,DEFAULT,0.00,,06066,,,,No,No
CZMTFMJCZRK1W,3M ULTRAFINE POLISH,,47.95,Fixed,,DEFAULT,32.97,,06068,,-3,,No,No
70GA5GTW5NKWP,Gerson Nuisance Dust Mask 50pk,,5.50,Fixed,,DEFAULT,4.22,,061501-CS,,,,No,No
JR5ES6DGHV3AJ,3M Imperial Hookit II P500 50 Discs,,36.39,Fixed,,DEFAULT,0.00,,0656,,,,No,No
DJ50XZ1NW0RTP,3M Imperial Hookit II P400 50 Discs,,36.39,Fixed,,DEFAULT,0.00,,0673,,,,No,No
9CM0RWZ9XJS9T,3M Imperial Hookit II P320 Box of 50,,37.34,Fixed,,DEFAULT,0.00,,0675,,,,No,No
7KFPAXCJ8MW2C,3M IMPERIAL HOOKIT II 80 GRIT BOX,,43.68,Fixed,,DEFAULT,35.52,,0683,,,,No,No
AV2FDGWYWMT2C,"Soft Sander 11"" Set",,34.95,Fixed,,DEFAULT,0.00,,0703,,,,No,No
6NYNVNGC0QXH8,Gerson PAINT STRAINER STAND,,9.06,Fixed,,DEFAULT,0.00,,070639,,,,No,No
9DNPJSHBR091M,3M Scotch Brite Roloc,,1.50,Fixed,,DEFAULT,0.00,,07481-1,,,,No,No
J9SDZ445B85BG,8oz CYLINDER 24/410 NAT HDPE Bottle (500/Ea),,0.80,Fixed,,DEFAULT,0.14,,08C24HN,,3822,,No,No
NACCQFBHE3E7C,8oz Cylinder Bottle Only,,0.00,Fixed,,DEFAULT,0.14,,08C24HN:8OZ-Bottle,,3971,,No,No
EZSX99PWEHBQ8,Comart Opaque Dinitrile Orange 1oz *DISCONTINUED,,1.99,Fixed,,DEFAULT,1.42,,1-009-1,DISCONTINUED ITEM,17,,No,No
A9ANCQYHK480J,Comart Opaque Dinitrile Orange 16oz  *DISCONTINUED,,29.95,Fixed,,DEFAULT,14.17,,1-009-16,DISCONTINUED ITEM,1,,No,No
B0E4D3XSFA7XG,Comart Opaque Dinitrile Orange 32oz  *DISCONTINUED,,45.00,Fixed,,DEFAULT,21.21,,1-009-32,DISCONTINUED ITEM,,,No,No
QTE9TK6H1FAJ8,Comart Opaque Dinitrile Orange 4oz  *DISCONTINUED,,3.99,Fixed,,DEFAULT,3.82,,1-009-4,DISCONTINUED ITEM,4,,No,No
5N8373TMGPHQC,Comart Opaque ToluIdIne Red 1oz,,2.89,Fixed,,DEFAULT,0.00,734748301012,1-010-1,,10,,No,No
MK0ZTH9BCGD96,Comart Opaque ToluIdIne Red 16oz,,29.95,Fixed,,DEFAULT,14.17,734748301050,1-010-16,,1,,No,No
A8W21GAQRAPRP,Comart Opaque ToluIdIne Red 32oz,,45.00,Fixed,,DEFAULT,21.21,734748301067,1-010-32,,,,No,No
N07S2X9RYCNE8,Comart Opaque ToluIdIne Red 4oz,,8.25,Fixed,,DEFAULT,3.88,734748301036,1-010-4,,10,,No,No
FAVV8F26834QY,Comart Opaque Diaryl Orange 1oz,,2.89,Fixed,,DEFAULT,0.00,734748302118,1-021-1,,2,,No,No
M3MJPSB2WPRK8,Comart Opaque Diaryl Orange 16oz,,29.95,Fixed,,DEFAULT,14.17,734748302156,1-021-16,,2,,No,No
YMV2CDATFG02M,Comart Opaque Diaryl Orange 32oz,,45.00,Fixed,,DEFAULT,21.21,734748302163,1-021-32,,,,No,No
1EBSWD0R3BDQ4,Comart Opaque Diaryl Orange 4oz,,8.25,Fixed,,DEFAULT,3.82,734748302132,1-021-4,,2,,No,No
